method	target	cv_fold	train_size	test_size	class_size(normal_anzhen)	class_size(VSD)	class_size(ASD)	accuracy	accuracy_by_class(normal_anzhen)	accuracy_by_class(VSD)	accuracy_by_class(ASD)
vgg16	normal_anzhen,VSD,ASD	0	3654	452	46	359	47	0.796460176991	0.920353982301	0.816371681416	0.856194690265
vgg16	normal_anzhen,VSD,ASD	1	3654	452	43	357	52	0.568584070796	0.953539823009	0.577433628319	0.606194690265
vgg16	normal_anzhen,VSD,ASD	2	3654	451	47	363	41	0.552106430155	0.933481152993	0.572062084257	0.59866962306
vgg16	normal_anzhen,VSD,ASD	3	3654	451	43	372	36	0.831485587583	0.935698447894	0.831485587583	0.89578713969
vgg16	normal_anzhen,VSD,ASD	4	3654	451	54	357	40	0.731707317073	0.937915742794	0.736141906874	0.789356984479
vgg16	normal_anzhen,VSD,ASD	5	3654	451	47	346	58	0.824833702882	0.968957871397	0.829268292683	0.851441241685
vgg16	normal_anzhen,VSD,ASD	6	3654	451	53	361	37	0.740576496674	0.971175166297	0.747228381375	0.762749445676
vgg16	normal_anzhen,VSD,ASD	7	3654	451	56	343	52	0.60310421286	0.946784922395	0.623059866962	0.636363636364
vgg16	normal_anzhen,VSD,ASD	8	3654	451	58	343	50	0.682926829268	0.911308203991	0.709534368071	0.745011086475
vgg16	normal_anzhen,VSD,ASD	9	3654	451	53	349	49	0.631929046563	0.971175166297	0.649667405765	0.643015521064
