method	target	cv_fold	train_size	test_size	class_size(normal_anzhen)	class_size(VSD)	accuracy	roc_auc
vgg16	normal_anzhen,VSD	0	1926	238	48	190	0.945378151261	0.984649122807
vgg16	normal_anzhen,VSD	1	1926	238	58	180	0.932773109244	0.981130268199
vgg16	normal_anzhen,VSD	2	1926	238	42	196	0.936974789916	0.989674441205
vgg16	normal_anzhen,VSD	3	1926	238	49	189	0.949579831933	0.989310009718
vgg16	normal_anzhen,VSD	4	1926	238	44	194	0.90756302521	0.990159325211
vgg16	normal_anzhen,VSD	5	1926	238	60	178	0.936974789916	0.985580524345
vgg16	normal_anzhen,VSD	6	1926	238	52	186	0.96218487395	0.99358974359
vgg16	normal_anzhen,VSD	7	1926	238	49	189	0.941176470588	0.990929705215
vgg16	normal_anzhen,VSD	8	1926	238	46	192	0.945378151261	0.981091485507
vgg16	normal_anzhen,VSD	9	1927	237	52	185	0.940928270042	0.991787941788
