method	target	cv_fold	train_size	test_size	class_size(normal_indiana)	class_size(VSD)	class_size(ASD)	accuracy	accuracy_by_class(normal_indiana)	accuracy_by_class(VSD)	accuracy_by_class(ASD)
vgg16	normal_indiana,VSD,ASD	0	3107	384	125	174	85	0.8671875	0.955729166667	0.895833333333	0.8828125
vgg16	normal_indiana,VSD,ASD	1	3107	384	121	176	87	0.864583333333	0.9765625	0.872395833333	0.880208333333
vgg16	normal_indiana,VSD,ASD	2	3107	384	110	208	66	0.833333333333	0.981770833333	0.848958333333	0.8359375
vgg16	normal_indiana,VSD,ASD	3	3107	384	129	180	75	0.908854166667	0.984375	0.911458333333	0.921875
vgg16	normal_indiana,VSD,ASD	4	3107	384	111	195	78	0.8671875	0.989583333333	0.875	0.869791666667
vgg16	normal_indiana,VSD,ASD	5	3107	384	110	201	73	0.84375	0.96875	0.861979166667	0.856770833333
vgg16	normal_indiana,VSD,ASD	6	3107	384	126	185	73	0.877604166667	0.9921875	0.880208333333	0.8828125
vgg16	normal_indiana,VSD,ASD	7	3108	383	103	183	97	0.817232375979	0.98955613577	0.827676240209	0.817232375979
vgg16	normal_indiana,VSD,ASD	8	3108	383	114	184	85	0.843342036554	0.973890339426	0.851174934726	0.861618798956
vgg16	normal_indiana,VSD,ASD	9	3108	383	103	193	87	0.798955613577	0.981723237598	0.804177545692	0.812010443864
