method	target	cv_fold	train_size	test_size	class_size(normal_indiana)	class_size(VSD)	accuracy	roc_auc
vgg16	normal_indiana,VSD	0	2454	304	112	192	0.947368421053	0.999116443452
vgg16	normal_indiana,VSD	1	2455	303	115	188	0.976897689769	0.99625346901
vgg16	normal_indiana,VSD	2	2455	303	110	193	0.983498349835	0.998445595855
vgg16	normal_indiana,VSD	3	2455	303	111	192	0.983498349835	1.0
vgg16	normal_indiana,VSD	4	2455	303	117	186	0.973597359736	0.998943111846
vgg16	normal_indiana,VSD	5	2455	303	113	190	0.960396039604	0.999627387052
vgg16	normal_indiana,VSD	6	2455	303	124	179	0.976897689769	0.998918724094
vgg16	normal_indiana,VSD	7	2455	303	118	185	0.973597359736	0.999679340357
vgg16	normal_indiana,VSD	8	2455	303	116	187	0.986798679868	0.999446800664
vgg16	normal_indiana,VSD	9	2455	303	116	187	0.986798679868	0.999677300387
